2023-10-04 16:38:40,956.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Today is 2023-10-04 at 04:38 PM
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Running on: nt Windows 10
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python version:  3.11.5
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Working dir: C:\Users\cori.tynes\Desktop\Documents_44671\MOD6\streaming-06-smart-smoker
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:44,826.CM_SMARTSMOKER_PROD.INFO Reading messages from smoker_temps_CM.csv...
2023-10-04 16:38:44,827.CM_SMARTSMOKER_PROD.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-04 16:39:56,123.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:37:10,No data received from row]'....
2023-10-04 16:39:56,134.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:37:10,No data received from row]'....
2023-10-04 16:39:58,144.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:37:15,111.9]'....
2023-10-04 16:39:58,158.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:37:15,No data received from row]'....
2023-10-04 16:39:58,170.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:37:15,No data received from row]'....
2023-10-04 16:40:00,181.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:38:10,114.2]'....
2023-10-04 16:40:00,197.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:38:10,No data received from row]'....
2023-10-04 16:40:00,207.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:38:10,No data received from row]'....
2023-10-04 16:40:02,217.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:38:15,114.2]'....
2023-10-04 16:40:02,240.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:38:15,No data received from row]'....
2023-10-04 16:40:02,252.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:38:15,No data received from row]'....
2023-10-04 16:40:04,263.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:39:10,115.5]'....
